Product Type: Litetrack Iridium-420+
Product ID: 154963
Firmware Version: V17.13.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,Voltage,DOP,Satellites,Cause of Fix
1/23/2024 2:14:30 PM,27.7046953,-81.0215647,-5.45,60,22.0,3.90,1.8,7,GPS Schedule
1/23/2024 2:30:12 PM,27.7046717,-81.0216037,-15.51,12,23.5,3.90,2.6,6,GPS Schedule
1/26/2024 1:46:00 PM,27.6705675,-81.0027421,-1.56,57,23.0,3.90,2.6,6,GPS Schedule
1/26/2024 2:00:15 PM,27.6736740,-81.0026993,11.66,16,22.5,3.90,2.2,6,GPS Schedule
1/26/2024 2:15:13 PM,27.6746763,-81.0034506,28.08,14,23.0,3.90,4.6,5,GPS Schedule
1/26/2024 2:30:12 PM,27.6747142,-81.0034300,15.78,12,23.5,3.90,6.2,5,GPS Schedule
1/26/2024 2:45:12 PM,27.6747596,-81.0035692,51.41,12,25.0,3.90,9.2,5,GPS Schedule
1/26/2024 3:00:13 PM,27.6745226,-81.0033161,-10.49,13,25.5,3.90,6.6,5,GPS Schedule
1/26/2024 3:15:13 PM,27.6744519,-81.0032091,-32.15,13,26.5,3.90,4.4,5,GPS Schedule
1/26/2024 3:30:13 PM,27.6747754,-81.0035264,22.21,13,26.0,3.90,3.8,5,GPS Schedule
1/26/2024 3:45:15 PM,27.6746469,-81.0034378,-25.99,15,26.0,3.90,4.4,5,GPS Schedule
1/26/2024 4:01:30 PM,27.6748628,-81.0035805,-28.54,90,27.0,3.90,6.8,4,GPS Schedule
1/26/2024 4:15:42 PM,27.6748468,-81.0034805,15.74,42,27.0,3.90,2.4,6,GPS Schedule
1/26/2024 4:30:13 PM,27.6748290,-81.0035090,13.06,13,27.0,3.90,2.4,6,GPS Schedule
1/26/2024 4:45:16 PM,27.6750437,-81.0036122,4.28,16,27.0,3.90,2.4,6,GPS Schedule
1/26/2024 5:00:13 PM,27.6748001,-81.0034943,29.93,13,26.5,3.90,2.2,6,GPS Schedule
1/26/2024 5:15:18 PM,27.6749486,-81.0036128,13.61,18,26.5,3.90,2.2,6,GPS Schedule
1/26/2024 5:30:28 PM,27.6749263,-81.0034033,74.31,28,26.5,3.90,4.6,5,GPS Schedule
1/26/2024 5:45:42 PM,27.6747429,-81.0034805,9.70,42,27.0,3.90,2.4,6,GPS Schedule
1/26/2024 6:00:18 PM,27.6747962,-81.0037135,17.83,18,27.0,3.90,3.6,5,GPS Schedule
1/26/2024 6:15:15 PM,27.6746829,-81.0037771,-37.89,15,27.0,3.90,2.8,5,GPS Schedule
1/26/2024 6:30:41 PM,27.6746734,-81.0036188,52.38,41,27.5,3.90,2.6,6,GPS Schedule
1/26/2024 6:45:15 PM,27.6747537,-81.0035213,46.19,15,28.0,3.90,2.6,6,GPS Schedule
1/26/2024 7:00:22 PM,27.6755737,-81.0029469,-165.83,22,29.0,3.90,7.8,5,GPS Schedule
1/26/2024 7:15:22 PM,27.6749681,-81.0030647,-9.89,22,28.5,3.90,5.8,5,GPS Schedule
1/26/2024 7:30:15 PM,27.6748531,-81.0032102,20.87,15,28.0,3.90,4,5,GPS Schedule
1/26/2024 7:45:42 PM,27.6750008,-81.0029646,15.50,42,28.0,3.90,3.2,5,GPS Schedule
1/26/2024 8:00:15 PM,27.6747788,-81.0030984,-4.34,15,28.0,3.90,3,5,GPS Schedule
1/26/2024 8:15:16 PM,27.6746015,-81.0028351,9.44,16,28.0,3.90,3.2,5,GPS Schedule
1/26/2024 8:30:13 PM,27.6751464,-81.0033714,21.35,13,28.0,3.90,4.4,5,GPS Schedule
1/26/2024 8:45:52 PM,27.6749897,-81.0034316,32.91,52,28.5,3.90,1.6,8,GPS Schedule
1/26/2024 9:00:14 PM,27.6749008,-81.0032977,12.96,14,28.0,3.90,2.4,7,GPS Schedule
1/26/2024 9:15:14 PM,27.6749935,-81.0035163,150.53,14,27.5,3.90,2.4,7,GPS Schedule
1/26/2024 9:30:13 PM,27.6751333,-81.0034403,-10.34,13,26.5,3.90,2.4,7,GPS Schedule
1/26/2024 9:45:15 PM,27.6748235,-81.0032743,100.34,15,26.0,3.90,3.6,6,GPS Schedule
1/26/2024 10:00:42 PM,27.6748067,-81.0033315,45.76,42,26.0,3.90,5,5,GPS Schedule
1/26/2024 10:15:18 PM,27.6749578,-81.0035692,-95.98,18,25.5,3.90,4.4,5,GPS Schedule
1/26/2024 10:30:33 PM,27.6745894,-81.0034940,67.99,33,25.5,3.90,2.2,7,GPS Schedule
1/26/2024 10:45:19 PM,27.6749853,-81.0033413,-9.20,19,25.0,3.90,2,7,GPS Schedule
1/26/2024 11:00:21 PM,27.6748856,-81.0031454,20.47,21,25.0,3.90,2,6,GPS Schedule
1/26/2024 11:15:27 PM,27.6749963,-81.0028580,-30.90,27,24.5,3.90,4.8,5,GPS Schedule
1/26/2024 11:30:13 PM,27.6747728,-81.0035386,37.85,13,24.0,3.90,4,5,GPS Schedule
1/26/2024 11:45:13 PM,27.6753348,-81.0034836,24.61,13,24.0,3.90,3.6,5,GPS Schedule
1/27/2024 12:00:41 AM,27.6753434,-81.0036886,24.93,41,24.0,3.90,2.4,6,GPS Schedule
1/27/2024 12:15:13 AM,27.6754788,-81.0035118,-33.82,13,23.5,3.90,4,5,GPS Schedule
1/27/2024 12:30:13 AM,27.6752360,-81.0035474,13.17,13,22.5,3.90,4.4,5,GPS Schedule
1/27/2024 12:45:15 AM,27.6753936,-81.0034098,12.18,15,23.0,3.90,4.8,5,GPS Schedule
1/27/2024 1:00:13 AM,27.6753503,-81.0035384,6.25,13,22.0,3.90,5,5,GPS Schedule
1/27/2024 1:15:13 AM,27.6753006,-81.0034310,36.13,13,23.0,3.90,5,5,GPS Schedule
1/27/2024 1:30:19 AM,27.6752559,-81.0035333,47.73,19,23.0,3.90,4.8,5,GPS Schedule
1/27/2024 1:45:42 AM,27.6753000,-81.0035373,-4.65,42,23.0,3.90,4.4,6,GPS Schedule
1/27/2024 2:00:13 AM,27.6754168,-81.0036042,-1.33,13,23.0,3.90,3.6,6,GPS Schedule
1/27/2024 2:15:18 AM,27.6754475,-81.0036005,5.09,18,22.5,3.90,3.2,6,GPS Schedule
1/27/2024 2:32:02 AM,27.6751636,-81.0037386,-8.13,122,23.0,3.90,4.8,4,GPS Schedule
1/27/2024 2:45:32 AM,27.6754987,-81.0037871,9.35,32,22.5,3.90,2.4,7,GPS Schedule
1/27/2024 3:00:28 AM,27.6753336,-81.0036070,46.37,28,23.0,3.90,2.4,7,GPS Schedule
1/27/2024 3:15:22 AM,27.6750701,-81.0035346,-27.12,22,23.0,3.90,3,6,GPS Schedule
1/27/2024 3:30:21 AM,27.6753565,-81.0037360,15.70,21,23.0,3.90,2.4,7,GPS Schedule
1/27/2024 3:45:35 AM,27.6750686,-81.0033763,63.62,35,23.5,3.90,3,6,GPS Schedule
1/27/2024 4:01:12 AM,27.6754348,-81.0035820,-15.90,72,23.5,3.90,3.4,5,GPS Schedule
1/27/2024 4:15:14 AM,27.6750822,-81.0036281,17.67,14,22.5,3.90,3.4,5,GPS Schedule
1/27/2024 4:30:22 AM,27.6753302,-81.0034456,-2.42,22,22.5,3.90,3.2,5,GPS Schedule
1/27/2024 4:45:21 AM,27.6753246,-81.0033467,50.44,21,23.0,3.90,3.2,5,GPS Schedule
1/27/2024 5:00:35 AM,27.6753514,-81.0035093,-6.89,35,23.0,3.90,2.4,6,GPS Schedule
1/27/2024 5:15:24 AM,27.6753032,-81.0035233,50.66,24,23.0,3.90,2.8,6,GPS Schedule
1/27/2024 5:31:06 AM,27.6751723,-81.0034171,-9.96,66,24.5,3.90,2.2,4,GPS Schedule
1/27/2024 5:45:59 AM,27.6753336,-81.0033856,20.55,59,24.5,3.90,3,5,GPS Schedule
1/27/2024 6:01:10 AM,27.6755955,-81.0035411,51.32,70,25.0,3.90,24.2,4,GPS Schedule
1/27/2024 6:16:43 AM,27.6753638,-81.0035467,-15.97,103,25.5,3.90,6.2,5,GPS Schedule
1/27/2024 6:30:26 AM,27.6753030,-81.0035804,-24.67,26,25.0,3.90,4.4,5,GPS Schedule
1/27/2024 6:45:16 AM,27.6751870,-81.0033713,2.00,16,24.0,3.90,4.2,5,GPS Schedule
1/27/2024 7:00:22 AM,27.6753890,-81.0036768,-38.53,22,22.5,3.90,4.6,5,GPS Schedule
1/27/2024 7:15:32 AM,27.6752084,-81.0034942,31.94,32,22.0,3.90,3,6,GPS Schedule
1/27/2024 7:30:14 AM,27.6752967,-81.0035395,11.12,14,22.0,3.90,2.6,6,GPS Schedule
1/27/2024 7:45:16 AM,27.6753637,-81.0036090,20.65,16,23.0,3.90,2.2,6,GPS Schedule
1/27/2024 8:00:16 AM,27.6755208,-81.0038897,-25.47,16,22.5,3.90,2.6,5,GPS Schedule
1/27/2024 8:15:42 AM,27.6754070,-81.0037754,-18.64,42,22.5,3.90,2,7,GPS Schedule
1/27/2024 8:30:13 AM,27.6754240,-81.0035879,16.52,13,22.0,3.90,1.8,7,GPS Schedule
1/27/2024 8:45:13 AM,27.6755514,-81.0035584,17.59,13,21.5,3.90,2.8,6,GPS Schedule
1/27/2024 9:00:14 AM,27.6754126,-81.0036580,14.62,14,20.5,3.90,2.8,6,GPS Schedule
1/27/2024 9:15:14 AM,27.6753651,-81.0036454,24.66,14,20.5,3.90,2.6,6,GPS Schedule
1/27/2024 9:30:14 AM,27.6754333,-81.0037243,-24.21,14,20.0,3.90,2.6,6,GPS Schedule
1/27/2024 9:45:13 AM,27.6753836,-81.0035163,14.29,13,20.5,3.90,3.4,5,GPS Schedule
1/27/2024 10:01:06 AM,27.6754890,-81.0035488,-14.45,66,21.0,3.90,3.2,7,GPS Schedule
1/27/2024 10:15:14 AM,27.6755054,-81.0035198,-4.99,14,20.5,3.90,3.2,7,GPS Schedule
1/27/2024 10:30:13 AM,27.6754267,-81.0036443,20.26,13,20.5,3.90,2.8,6,GPS Schedule
1/27/2024 10:45:13 AM,27.6754173,-81.0035394,-3.59,13,20.5,3.90,2.4,7,GPS Schedule
1/27/2024 11:00:14 AM,27.6754939,-81.0036679,-2.55,14,20.5,3.90,2.2,7,GPS Schedule
1/27/2024 11:15:13 AM,27.6753566,-81.0036417,7.08,13,21.0,3.90,4,6,GPS Schedule
1/27/2024 11:30:14 AM,27.6752909,-81.0036085,1.57,14,21.0,3.90,3.8,6,GPS Schedule
1/27/2024 11:45:16 AM,27.6753463,-81.0038411,-55.34,15,21.0,3.90,3.4,6,GPS Schedule
1/27/2024 12:00:26 PM,27.6754095,-81.0033778,41.11,25,21.0,3.90,3,6,GPS Schedule
1/27/2024 12:15:16 PM,27.6754210,-81.0035190,47.29,15,21.0,3.90,2.8,6,GPS Schedule
1/27/2024 12:30:21 PM,27.6753948,-81.0038191,-24.69,20,21.0,3.90,4,5,GPS Schedule
1/27/2024 12:45:42 PM,27.6753552,-81.0035053,48.28,41,21.5,3.90,2,7,GPS Schedule
1/27/2024 1:00:14 PM,27.6754184,-81.0034947,15.55,13,21.0,3.90,1.8,7,GPS Schedule
1/27/2024 1:15:13 PM,27.6751374,-81.0034433,64.15,12,21.5,3.90,1.6,7,GPS Schedule
1/27/2024 1:30:15 PM,27.6753969,-81.0034341,22.24,14,22.0,3.90,1.6,7,GPS Schedule
1/27/2024 1:45:18 PM,27.6753321,-81.0034436,25.16,17,22.5,3.90,3.2,5,GPS Schedule
1/27/2024 2:00:42 PM,27.6754184,-81.0034947,15.55,41,23.0,3.90,5,5,GPS Schedule
1/27/2024 2:15:14 PM,27.6754214,-81.0038170,-17.39,13,23.0,3.90,6,5,GPS Schedule
1/27/2024 2:30:14 PM,27.6753044,-81.0040691,15.95,13,23.0,3.90,7.6,5,GPS Schedule
